,expression,cna
TCGA-HZ-7923,7.3342,0.01
TCGA-XD-AAUG,8.1537,-0.023
TCGA-IB-AAUN,7.5299,0.048
TCGA-IB-AAUS,7.3196,0.002
TCGA-OE-A75W,8.7398,-0.045
TCGA-RB-AA9M,7.9479,0.047
TCGA-F2-A44G,6.9225,0.013
TCGA-FB-AAPU,6.8425,-0.04
TCGA-2J-AAB6,8.132,0.922
TCGA-2J-AABP,7.426,0.075
TCGA-HZ-8315,8.1624,1.071
TCGA-2J-AABU,8.1922,-0.053
TCGA-HZ-A77Q,7.4982,-0.005
TCGA-HZ-7919,6.1838,0.001
TCGA-Q3-A5QY,8.5255,0.004
TCGA-HZ-8519,7.449,0.015
TCGA-XN-A8T5,8.1562,-0.005
TCGA-FB-AAQ2,7.7548,0.011
TCGA-S4-A8RM,7.2354,0.014
TCGA-HZ-8003,7.085,0.014
TCGA-3A-A9IO,10.5577,-0.018
TCGA-F2-7276,7.1047,-0.008
TCGA-IB-A6UG,8.1355,0.252
TCGA-3A-A9IB,7.0879,-0.009
TCGA-IB-AAUW,7.3419,-0.002
TCGA-RB-A7B8,7.3318,0.015
TCGA-3A-A9IZ,7.5967,-0.021
TCGA-FB-A545,8.131,0.279
TCGA-FB-AAQ1,7.1487,-0.079
TCGA-IB-7654,7.0739,-0.029
TCGA-3A-A9I5,8.3044,-0.027
TCGA-HZ-A8P1,7.8736,0.005
TCGA-FB-A78T,6.9071,0.024
TCGA-US-A779,7.9651,0.021
TCGA-HV-A5A4,7.7794,0.006
TCGA-HZ-A49G,7.7694,0.022
TCGA-XD-AAUH,8.4674,-0.023
TCGA-FB-AAQ0,7.9328,0.062
TCGA-2L-AAQI,7.3252,0.004
TCGA-FB-A7DR,7.3719,-0.133
TCGA-HV-A5A3,7.6753,0.539
TCGA-XD-AAUL,9.0909,1.63
TCGA-IB-7889,6.9469,0.0
TCGA-3A-A9IU,9.3255,0.525
TCGA-HZ-8002,6.8599,-0.003
TCGA-IB-7890,6.5349,0.06
TCGA-FB-AAPP,9.3957,-0.215
TCGA-IB-AAUM,7.9849,-0.008
TCGA-2J-AABF,7.8068,0.368
TCGA-IB-7647,7.3422,0.04
TCGA-LB-A8F3,8.7615,-0.045
TCGA-F2-A44H,7.8956,-0.014
TCGA-IB-A7M4,8.084,-0.029
TCGA-3A-A9IH,7.4078,-0.034
TCGA-2L-AAQJ,8.1481,-0.012
TCGA-HZ-7920,7.4636,0.0
TCGA-3A-A9IJ,8.3323,0.004
TCGA-H6-A45N,7.4968,0.042
TCGA-FB-AAPY,8.5665,0.132
TCGA-IB-AAUQ,7.689,-0.028
TCGA-F2-6879,6.5733,0.053
TCGA-3E-AAAY,7.9063,0.024
TCGA-3A-A9IR,7.8255,-0.016
TCGA-M8-A5N4,6.933,-0.023
TCGA-IB-A5SO,7.6337,0.073
TCGA-3A-A9IS,10.7284,0.159
TCGA-3A-A9IC,7.6652,-0.026
TCGA-L1-A7W4,7.4642,-0.631
TCGA-US-A77G,7.308,0.012
TCGA-2J-AAB8,7.3708,0.134
TCGA-3A-A9J0,7.3777,-0.047
TCGA-3E-AAAZ,7.7094,-0.018
TCGA-2L-AAQE,7.7886,-0.075
TCGA-IB-7885,7.0099,-0.126
TCGA-HZ-8005,6.3813,-0.101
TCGA-2J-AABV,8.2524,-0.002
TCGA-HV-A7OL,7.9474,0.329
TCGA-2J-AABO,7.2969,-0.209
TCGA-HV-A5A6,7.8429,0.345
TCGA-S4-A8RO,8.3252,0.058
TCGA-3A-A9I7,7.1727,-0.028
TCGA-2J-AABE,8.0956,0.007
TCGA-2J-AABK,7.7315,0.02
TCGA-IB-7646,5.9757,-0.193
TCGA-IB-AAUR,7.5794,0.007
TCGA-HZ-A49I,7.0556,-0.381
TCGA-HZ-A49H,7.8757,-0.002
TCGA-IB-8126,7.1109,-0.001
TCGA-HZ-8637,7.5248,0.038
TCGA-IB-AAUV,7.3182,0.002
TCGA-2J-AAB1,7.5829,-0.006
TCGA-HZ-A4BK,7.8756,0.047
TCGA-IB-7652,7.0349,0.035
TCGA-IB-7651,7.2908,0.014
TCGA-IB-A7LX,8.8943,-0.136
TCGA-HZ-A8P0,6.8991,-0.339
TCGA-HZ-7926,7.0765,0.008
TCGA-FB-A4P5,7.9369,-0.001
TCGA-US-A774,7.5861,-0.015
TCGA-2L-AAQM,9.0669,1.289
TCGA-IB-AAUT,8.0022,-0.007
TCGA-HV-A7OP,9.4207,0.023
TCGA-HZ-A77P,7.5525,-0.004
TCGA-HZ-7925,6.7166,-0.012
TCGA-HZ-7918,6.6727,0.334
TCGA-HZ-A77O,7.2854,0.061
TCGA-F2-6880,8.0017,0.002
TCGA-IB-AAUO,7.4359,-0.01
TCGA-HV-AA8X,7.92,-0.032
TCGA-2L-AAQL,7.9128,0.116
TCGA-Z5-AAPL,7.6874,0.002
TCGA-F2-A7TX,7.6485,0.348
TCGA-US-A77E,7.9217,0.009
TCGA-HZ-8001,7.9183,0.132
TCGA-IB-7893,6.3502,-0.034
TCGA-3A-A9IX,7.7092,0.0
TCGA-HZ-8317,6.7958,-0.008
TCGA-IB-A6UF,7.5542,0.036
TCGA-US-A776,9.7725,0.105
TCGA-IB-7644,6.8353,0.019
TCGA-2J-AABA,7.803,0.017
TCGA-2J-AAB4,7.6075,-0.266
TCGA-IB-AAUP,7.7203,0.017
TCGA-IB-7891,7.0884,0.212
TCGA-IB-A5SS,6.8721,-0.433
TCGA-FB-AAPQ,6.9112,-0.466
TCGA-HZ-7924,7.2107,0.007
TCGA-HV-A5A5,7.7032,-0.04
TCGA-IB-7887,7.2041,-0.009
TCGA-IB-A5SP,7.7153,0.109
TCGA-HZ-7289,9.282,-0.022
TCGA-FB-AAPS,7.8963,0.005
TCGA-YH-A8SY,7.7428,0.099
TCGA-2J-AABI,8.826,-0.611
TCGA-LB-A9Q5,7.6047,-0.011
TCGA-XD-AAUI,7.541,-0.158
TCGA-FB-AAQ3,7.0324,0.011
TCGA-IB-7886,7.5962,0.521
TCGA-IB-A5ST,8.52,0.016
TCGA-FB-AAQ6,7.5462,-0.059
TCGA-3A-A9IV,8.1462,0.672
TCGA-IB-7645,6.4578,0.046
TCGA-IB-7897,7.3889,0.008
TCGA-F2-A8YN,8.3418,0.055
TCGA-RL-AAAS,7.7861,0.001
TCGA-2L-AAQA,6.9503,-0.012
TCGA-3A-A9IN,10.336,0.856
TCGA-IB-8127,7.8727,0.107
TCGA-Q3-AA2A,7.2381,0.015
TCGA-2J-AAB9,7.5507,-0.006
TCGA-S4-A8RP,7.648,-0.025
TCGA-US-A77J,8.3334,0.002
TCGA-3A-A9IL,9.6866,0.05
TCGA-2J-AABR,7.9273,-0.013
TCGA-F2-7273,7.2695,0.016
TCGA-FB-AAPZ,7.8029,0.37
TCGA-HZ-8636,7.5654,0.098
TCGA-IB-7888,7.1147,-0.003
TCGA-IB-7649,6.8754,0.028
TCGA-FB-A5VM,8.7632,0.0
TCGA-IB-A5SQ,8.6614,0.001
TCGA-YY-A8LH,8.7602,0.039
TCGA-2J-AABH,7.5766,0.453
TCGA-3A-A9I9,7.4646,-0.027
TCGA-HV-AA8V,7.9277,0.001
TCGA-H6-8124,7.9646,0.591
TCGA-LB-A7SX,8.1519,0.222
TCGA-IB-AAUU,8.4892,0.495
TCGA-PZ-A5RE,7.2856,0.427
TCGA-XN-A8T3,7.944,0.189
TCGA-2J-AABT,7.2872,-0.035
TCGA-HZ-8638,6.7954,-0.005
TCGA-H8-A6C1,8.0732,-0.014
