gene,importance,p_value,rank_by_importance,is_known,high_group_size,low_group_size,significant
ODF2L,0.0038477918044922043,0.8884105097268105,20489,False,91,92,NO
PRDX6,0.003704055395589818,0.06806533758736127,15931,False,91,92,NO
TRMT2B,0.003465398261098227,0.13339561719711462,4692,False,91,92,NO
KCNK10,0.0034112235965360104,0.6821531440397566,13002,False,91,92,NO
SYDE1,0.003330618243909197,0.3186477183109597,1020,False,91,92,NO
LOC100128811,0.003303881728109046,0.04398925617286526,526,False,57,126,YES
ANXA13,0.003091992039609464,0.09315383069134991,5950,False,91,92,NO
KRT6B,0.0029236369617360513,0.20177778366654664,12397,False,91,92,NO
TTC14,0.002898526406590921,0.907979530019047,4347,False,91,92,NO
DDIT4,0.0028682594239175115,0.0722535389422331,1022,False,91,92,NO
C5orf27,0.002736742619006852,0.04391220272787605,4901,False,91,92,YES
FAM20A,0.0027204061646786105,0.8232062990125208,15600,False,91,92,NO
BZW1,0.0026787626559609855,0.0017743902156021351,7105,False,91,92,YES
RIMKLB,0.0026655281496424,0.804314967287457,9218,False,91,92,NO
GLRX5,0.002631285965522746,0.34270367221938175,18970,False,91,92,NO
C7orf10,0.0025163561341512027,0.04438157413095838,3104,False,91,92,YES
BRPF3,0.002470705356784528,0.6399645134681005,20476,False,91,92,NO
GHITM,0.002436799508403514,0.36351957264937595,2041,False,91,92,NO
LPPR1,0.0024308972520273213,0.01658885391593742,6380,False,91,92,YES
SLC1A4,0.002392881679061539,0.05250580238958625,16983,False,91,92,NO
CCDC24,0.0023597427041839704,0.03745951721122873,14038,False,91,92,YES
SLC7A4,0.002358691407705491,0.09324771027391353,3802,False,91,92,NO
TUSC2,0.0023161227337152313,0.7262539662768994,842,False,91,92,NO
CHGA,0.0022792344572263434,0.017130182732482485,20103,False,91,92,YES
C20orf85,0.0022775417615816585,0.33440128716199724,9025,False,91,92,NO
LRRC36,0.002239828408306669,0.15170991049874968,10860,False,91,92,NO
VAPB,0.002237061003085924,0.45546953424499625,5365,False,91,92,NO
MOBKL1A,0.002232297940699379,0.05049280775211703,7819,False,91,92,NO
LOC148709,0.0022192295617637922,0.469179612646475,12390,False,91,92,NO
TPRG1,0.002185493796822862,0.17157380226406765,20171,False,91,92,NO
NAALADL1,0.0021818390459435754,0.7667922726560019,9180,False,91,92,NO
KIAA1529,0.002177186390902686,0.0009563810366984428,897,False,91,92,YES
RUNX1,0.002175223787511924,0.41050883912172653,6876,False,91,92,NO
ZMYND10,0.0021539201740440133,0.4923649865048314,19544,False,91,92,NO
C4orf6,0.0021513825193065837,0.865205645733653,1212,False,91,92,NO
ZFP36,0.0021485411140583564,0.4187679120697524,5940,False,91,92,NO
COBL,0.0021421544984339754,0.4748694045378483,17219,False,91,92,NO
DNAJC5,0.0021403319217233236,0.004763903946270258,1472,False,91,92,YES
C17orf104,0.002138216572036532,0.8632542600714375,1821,False,91,92,NO
HIST3H2A,0.0021079510651602993,0.9748444603995481,8890,False,91,92,NO
EIF3IP1,0.00210495350762644,0.030661966180947745,13574,False,91,92,YES
HDAC3,0.0021026761883030996,0.012165077996860816,19739,False,91,92,YES
ZNF273,0.0020975170427439595,0.5640013682377234,9752,False,91,92,NO
CRLF1,0.0020927467859760225,0.776919628519501,4591,False,91,92,NO
CCDC76,0.00209160595607269,0.853362996461532,2012,False,91,92,NO
EGR2,0.002089909091408344,0.5551532406091427,11055,False,91,92,NO
FAM178B,0.002054134394180251,0.3389119785960445,15993,False,91,92,NO
GJA4,0.0020471191579185953,0.2709607304577909,2816,False,91,92,NO
SERPINB3,0.0020331769071264875,0.05628589490539565,3640,False,91,92,NO
SGTA,0.002017899671894789,0.14451523522179513,3733,False,91,92,NO
KIAA0368,0.0020165134148549912,0.8505180437683914,4031,False,91,92,NO
ZNF532,0.0020075297859155584,0.007786574444129974,10149,False,91,92,YES
TTC36,0.002004823689798639,0.022836342878171923,8694,False,91,92,YES
CYP11A1,0.002004601932811782,0.7035814004846321,5809,False,91,92,NO
ZNF773,0.0019969610930353544,0.002274484955506818,7849,False,91,92,YES
ODF3L1,0.0019785166809315607,0.0185790519945431,19159,False,91,92,YES
DCAF11,0.0019673674278142873,0.9429759435850866,14043,False,90,93,NO
ENHO,0.0019440463629652818,0.007912010042782,11828,False,91,92,YES
BTNL3,0.001928499812433924,0.9353037565059059,18795,False,91,92,NO
C2orf81,0.0019255612103996512,0.0043456992129289095,714,False,91,92,YES
ELOF1,0.0019159207141638017,0.7179368413284238,3281,False,91,92,NO
APPL2,0.0018927468123658522,0.9184779998894346,3462,False,91,92,NO
CLIC4,0.0018715944089078417,0.1180417741933201,495,False,91,92,NO
STOX1,0.0018701101220059762,0.049089524090179304,12171,False,91,92,YES
ZFAND2B,0.0018598085511176549,0.013525955185008797,10611,False,91,92,YES
FAM134A,0.0018579636008139208,0.5360176767691684,161,False,91,92,NO
FOXE3,0.0018568024451742966,0.8342400905340488,18349,False,91,92,NO
HNRNPA1L2,0.0018488031996358129,0.083775209187919,10305,False,91,92,NO
MRPL54,0.0018399884420044232,0.28119471784767247,15565,False,91,92,NO
TET1,0.001837504758279407,0.49431728527426944,13454,False,91,92,NO
ASPHD1,0.0018374366807993132,0.35991204335339555,1155,False,91,92,NO
MYL12A,0.0018357552178587654,0.2248561685789622,6047,False,91,92,NO
PPP1CB,0.0018352729226431652,0.0006869775900281683,11263,False,91,92,YES
CALY,0.0018289688613001745,0.0009783513432765443,5483,False,91,92,YES
MPP3,0.001824647085340669,0.03097546554172021,16818,False,91,92,YES
C2orf39,0.0018240239353510864,0.025747960787159255,13538,False,91,92,YES
OLFML3,0.0018234925977865402,0.5000156887627847,16429,False,91,92,NO
PARD6A,0.0018184496767660579,0.08287815140622558,2006,False,91,92,NO
SGSM3,0.0018101097360431779,0.4013476731737998,10809,False,91,92,NO
TEAD4,0.0018056119182245317,0.08762091111713463,17090,False,91,92,NO
LOC90586,0.0018035501362707242,0.25395801073558566,13806,False,91,92,NO
ATE1,0.0018034084985405036,0.10633683052326084,15573,False,91,92,NO
SMG7,0.0018021108726624024,0.9974492034300965,14742,False,91,92,NO
NCR2,0.00179926257011624,0.24444204082265736,6354,False,46,137,NO
FAT4,0.001794752290189415,0.45420950113392156,6219,True,91,92,NO
KRT81,0.001790925276993387,0.20640611201783107,17490,False,91,92,NO
ROCK1,0.0017844004292338555,0.017946839674486077,8404,False,91,92,YES
DPYSL3,0.0017654634525364576,0.9150875736219194,407,False,91,92,NO
LY6D,0.0017641025641025627,0.002805905109931631,14956,False,91,92,YES
RNF13,0.0017637840091968531,0.08581246716233475,6,False,91,92,NO
MAT1A,0.001761843077151811,0.96477642349077,9383,False,91,92,NO
SLC46A3,0.0017583781119114089,0.9918132418186898,17114,False,91,92,NO
SLC29A2,0.0017564887626999425,0.7177984906854219,14540,False,91,92,NO
SCAND1,0.0017552535773192395,0.013258692766485027,15060,False,91,92,YES
PDE4A,0.0017551024961651078,0.5391949051947678,20136,False,91,92,NO
COL6A1,0.0017466971544715462,0.05847410430447181,11273,False,91,92,NO
KRT6C,0.001743842204594735,0.11570506275797887,12398,False,91,92,NO
RRP7B,0.0017360308310620052,0.2800063462997343,10621,False,91,92,NO
MPHOSPH8,0.0017325572079184047,0.2849720655346387,287,False,91,92,NO
SPN,0.001732146546602041,0.1981089919396079,37,False,91,92,NO
COX16,0.001723193947995515,0.649828894457696,5678,False,91,92,NO
EPYC,0.0017136504294747855,0.004008171350467384,3132,False,91,92,YES
CYP26C1,0.001704545454545455,0.239120271574807,12517,False,91,92,NO
IDH3B,0.0016980101472588221,0.48294578660052356,4869,False,91,92,NO
SNRPC,0.0016808742217182158,0.34373829302531556,2576,False,91,92,NO
CMTM1,0.0016800000000000003,0.015119215523109316,4232,False,91,92,YES
