#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGR3	LYPD3	9606.ENSP00000308606	9606.ENSP00000244333	0	0	0	0	0.042	0.230	0	0.893	0.914
CRHBP	UCN2	9606.ENSP00000274368	9606.ENSP00000273610	0	0	0	0	0	0	0	0.715	0.715
CRHBP	PHLDB3	9606.ENSP00000274368	9606.ENSP00000292140	0	0	0	0	0	0.430	0	0	0.430
ETHE1	PHLDB3	9606.ENSP00000292147	9606.ENSP00000292140	0	0.053	0	0	0.055	0	0	0.645	0.655
ETHE1	ZNF575	9606.ENSP00000292147	9606.ENSP00000315870	0	0	0	0	0.067	0	0	0.448	0.463
LY6G6D	LYPD3	9606.ENSP00000364985	9606.ENSP00000244333	0	0	0	0	0	0	0.400	0.217	0.510
LY6G6D	SPACA4	9606.ENSP00000364985	9606.ENSP00000312774	0	0	0	0	0	0	0.400	0.337	0.585
LY6G6D	PATE3	9606.ENSP00000364985	9606.ENSP00000395505	0	0	0	0	0	0	0	0.431	0.431
LY6G6D	LY6L	9606.ENSP00000364985	9606.ENSP00000455811	0	0	0	0	0	0	0	0.446	0.446
LY6G6D	TEX101	9606.ENSP00000364985	9606.ENSP00000472308	0	0	0	0	0	0	0.400	0.227	0.516
LY6L	LYPD3	9606.ENSP00000455811	9606.ENSP00000244333	0	0	0	0	0	0	0	0.540	0.540
LY6L	SLURP1	9606.ENSP00000455811	9606.ENSP00000246515	0	0	0	0	0	0	0	0.514	0.514
LY6L	PATE1	9606.ENSP00000455811	9606.ENSP00000307164	0	0	0	0	0	0	0	0.668	0.668
LY6L	SPACA4	9606.ENSP00000455811	9606.ENSP00000312774	0	0	0	0	0	0	0	0.629	0.629
LY6L	PATE2	9606.ENSP00000455811	9606.ENSP00000351325	0	0	0	0	0	0	0	0.697	0.697
LY6L	PATE3	9606.ENSP00000455811	9606.ENSP00000395505	0	0	0	0	0	0	0	0.761	0.761
LY6L	TEX101	9606.ENSP00000455811	9606.ENSP00000472308	0	0	0	0	0	0	0	0.570	0.570
LY6L	PINLYP	9606.ENSP00000455811	9606.ENSP00000479240	0	0	0	0	0	0	0	0.717	0.717
LYPD3	SPACA4	9606.ENSP00000244333	9606.ENSP00000312774	0	0	0	0	0.053	0	0	0.436	0.443
