#node	identifier	category	term ID	term description
AGR3	9606.ENSP00000308606	GO Process	GO:0010941	Regulation of cell death
AGR3	9606.ENSP00000308606	GO Process	GO:0048519	Negative regulation of biological process
AGR3	9606.ENSP00000308606	GO Process	GO:0048523	Negative regulation of cellular process
AGR3	9606.ENSP00000308606	GO Process	GO:0050789	Regulation of biological process
AGR3	9606.ENSP00000308606	GO Process	GO:0050794	Regulation of cellular process
AGR3	9606.ENSP00000308606	GO Process	GO:0060548	Negative regulation of cell death
AGR3	9606.ENSP00000308606	GO Process	GO:0065007	Biological regulation
AGR3	9606.ENSP00000308606	GO Function	GO:0002162	Dystroglycan binding
AGR3	9606.ENSP00000308606	GO Function	GO:0005488	Binding
AGR3	9606.ENSP00000308606	GO Function	GO:0005515	Protein binding
AGR3	9606.ENSP00000308606	GO Component	GO:0005622	Intracellular anatomical structure
AGR3	9606.ENSP00000308606	GO Component	GO:0005737	Cytoplasm
AGR3	9606.ENSP00000308606	GO Component	GO:0005783	Endoplasmic reticulum
AGR3	9606.ENSP00000308606	GO Component	GO:0012505	Endomembrane system
AGR3	9606.ENSP00000308606	GO Component	GO:0043226	Organelle
AGR3	9606.ENSP00000308606	GO Component	GO:0043227	Membrane-bounded organelle
AGR3	9606.ENSP00000308606	GO Component	GO:0043229	Intracellular organelle
AGR3	9606.ENSP00000308606	GO Component	GO:0043231	Intracellular membrane-bounded organelle
AGR3	9606.ENSP00000308606	GO Component	GO:0110165	Cellular anatomical entity
AGR3	9606.ENSP00000308606	STRING clusters	CL:34817	Mixed, incl. Snake toxin-like superfamily, and CCDC85 family
AGR3	9606.ENSP00000308606	STRING clusters	CL:34818	Mixed, incl. Snake toxin-like superfamily, and Thioredoxin
AGR3	9606.ENSP00000308606	STRING clusters	CL:34883	Thioredoxin-like, and Thioredoxin, conserved site
AGR3	9606.ENSP00000308606	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
AGR3	9606.ENSP00000308606	TISSUES	BTO:0000042	Animal
AGR3	9606.ENSP00000308606	TISSUES	BTO:0000203	Respiratory system
AGR3	9606.ENSP00000308606	TISSUES	BTO:0000763	Lung
AGR3	9606.ENSP00000308606	TISSUES	BTO:0001489	Whole body
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0005622	Intracellular
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0005737	Cytoplasm
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0005783	Endoplasmic reticulum
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0012505	Endomembrane system
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0043226	Organelle
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0043227	Membrane-bounded organelle
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0043229	Intracellular organelle
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0043231	Intracellular membrane-bounded organelle
AGR3	9606.ENSP00000308606	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
AGR3	9606.ENSP00000308606	Monarch	EFO:0004512	Bone measurement
AGR3	9606.ENSP00000308606	Monarch	EFO:0004516	Bone fracture related measurement
AGR3	9606.ENSP00000308606	Monarch	EFO:0007621	Bone mineral content measurement
AGR3	9606.ENSP00000308606	UniProt Keywords	KW-0256	Endoplasmic reticulum
AGR3	9606.ENSP00000308606	UniProt Keywords	KW-0732	Signal
AGR3	9606.ENSP00000308606	Pfam	PF13899	Thioredoxin-like
AGR3	9606.ENSP00000308606	InterPro	IPR036249	Thioredoxin-like superfamily
CRHBP	9606.ENSP00000274368	GO Process	GO:0000003	Reproduction
CRHBP	9606.ENSP00000274368	GO Process	GO:0001963	Synaptic transmission, dopaminergic
CRHBP	9606.ENSP00000274368	GO Process	GO:0002791	Regulation of peptide secretion
CRHBP	9606.ENSP00000274368	GO Process	GO:0002792	Negative regulation of peptide secretion
CRHBP	9606.ENSP00000274368	GO Process	GO:0003008	System process
CRHBP	9606.ENSP00000274368	GO Process	GO:0006810	Transport
CRHBP	9606.ENSP00000274368	GO Process	GO:0006887	Exocytosis
CRHBP	9606.ENSP00000274368	GO Process	GO:0006950	Response to stress
CRHBP	9606.ENSP00000274368	GO Process	GO:0006952	Defense response
CRHBP	9606.ENSP00000274368	GO Process	GO:0006954	Inflammatory response
CRHBP	9606.ENSP00000274368	GO Process	GO:0007154	Cell communication
CRHBP	9606.ENSP00000274368	GO Process	GO:0007165	Signal transduction
CRHBP	9606.ENSP00000274368	GO Process	GO:0007267	Cell-cell signaling
CRHBP	9606.ENSP00000274368	GO Process	GO:0007268	Chemical synaptic transmission
CRHBP	9606.ENSP00000274368	GO Process	GO:0007565	Female pregnancy
CRHBP	9606.ENSP00000274368	GO Process	GO:0007610	Behavior
CRHBP	9606.ENSP00000274368	GO Process	GO:0007611	Learning or memory
CRHBP	9606.ENSP00000274368	GO Process	GO:0009410	Response to xenobiotic stimulus
CRHBP	9606.ENSP00000274368	GO Process	GO:0009719	Response to endogenous stimulus
