#node	identifier	node_degree
AGR3	9606.ENSP00000308606	1
CRHBP	9606.ENSP00000274368	2
ETHE1	9606.ENSP00000292147	2
LY6G6D	9606.ENSP00000364985	5
LY6L	9606.ENSP00000455811	9
LYPD3	9606.ENSP00000244333	12
LYSMD1	9606.ENSP00000357904	2
MDM2	9606.ENSP00000258149	1
PATE1	9606.ENSP00000307164	8
PATE2	9606.ENSP00000351325	8
PATE3	9606.ENSP00000395505	9
PHLDB3	9606.ENSP00000292140	10
PINLYP	9606.ENSP00000479240	8
RAB30	9606.ENSP00000435189	1
SCNM1	9606.ENSP00000357901	2
SLURP1	9606.ENSP00000246515	8
SPACA4	9606.ENSP00000312774	9
TEX101	9606.ENSP00000472308	11
TTC12	9606.ENSP00000419652	1
UCN2	9606.ENSP00000273610	1
ZNF575	9606.ENSP00000315870	4
